hyperedge_id,type,size,normal_count,abnormal_count,normal_ratio,abnormal_ratio,majority_label,majority_count,purity,entropy,is_bridge,vertices
HE_000281,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no876.jpg|no901.jpg|y1010.jpg|y1136.jpg|y1199.jpg|y1232.jpg|y1287.jpg|y357.jpg|y551.jpg|y712.jpg|y920.jpg
HE_000282,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,no1229.jpg|no437.jpg|no498.jpg|no544.jpg|no73.jpg|y1203.jpg|y1279.jpg|y216.jpg|y298.jpg|y541.jpg|y999.jpg
HE_000283,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,No13.jpg|no1064.jpg|no1296.jpg|no672.jpg|no796.jpg|y1015.jpg|y1049.jpg|y1147.jpg|y1207.jpg|y890.jpg|y961.jpg
HE_000284,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1029.jpg|no1094.jpg|no1130.jpg|no1236.jpg|no507.jpg|no756.jpg|no949.jpg|y1020.jpg|y1212.jpg|y214.jpg|y935.jpg
HE_000285,knn,11,0,11,0.000000,1.000000,1,11,1.000000,0.000000,False,y1013.jpg|y1080.jpg|y119.jpg|y1213.jpg|y65.jpg|y706.jpg|y734.jpg|y765.jpg|y90.jpg|y961.jpg|y994.jpg
HE_000286,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1132.jpg|no267.jpg|no599.jpg|y1030.jpg|y1126.jpg|y1176.jpg|y1222.jpg|y126.jpg|y1352.jpg|y64.jpg|y810.jpg
HE_000287,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1147.jpg|no294.jpg|no328.jpg|y1182.jpg|y1227.jpg|y1359.jpg|y1438.jpg|y527.jpg|y63.jpg|y702.jpg|y743.jpg
HE_000288,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no544.jpg|y1010.jpg|y1069.jpg|y1136.jpg|y1199.jpg|y1232.jpg|y1237.jpg|y1435.jpg|y909.jpg|y920.jpg|y957.jpg
HE_000289,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1234.jpg|no1378.jpg|no544.jpg|y1069.jpg|y1136.jpg|y1232.jpg|y1237.jpg|y298.jpg|y541.jpg|y909.jpg|y957.jpg
HE_000290,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no672.jpg|y1027.jpg|y1049.jpg|y1087.jpg|y1096.jpg|y124.jpg|y125.jpg|y772.jpg|y831.jpg|y870.jpg|y913.jpg
HE_000291,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no120.jpg|no766.jpg|no809.jpg|no87.jpg|y100.jpg|y1242.jpg|y1293.jpg|y1447.jpg|y744.jpg|y942.jpg|y979.jpg
HE_000292,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1040.jpg|no1418.jpg|no885.jpg|no959.jpg|y1013.jpg|y1047.jpg|y1244.jpg|y1335.jpg|y734.jpg|y765.jpg|y90.jpg
HE_000293,knn,11,10,1,0.909091,0.090909,0,10,0.909091,0.439497,False,no119.jpg|no1242.jpg|no140.jpg|no156.jpg|no159.jpg|no325.jpg|no340.jpg|no487.jpg|no66.jpg|no84.jpg|y1245.jpg
HE_000294,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no213.jpg|no479.jpg|y1027.jpg|y124.jpg|y125.jpg|y65.jpg|y706.jpg|y772.jpg|y867.jpg|y870.jpg|y913.jpg
HE_000295,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no417.jpg|no720.jpg|no873.jpg|no930.jpg|y1257.jpg|y1309.jpg|y1401.jpg|y1430.jpg|y1431.jpg|y159.jpg|y780.jpg
HE_000296,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no267.jpg|y1126.jpg|y1176.jpg|y1182.jpg|y1222.jpg|y126.jpg|y64.jpg|y678.jpg|y685.jpg|y71.jpg|y810.jpg
HE_000297,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1179.jpg|no353.jpg|no391.jpg|no432.jpg|no740.jpg|no856.jpg|no87.jpg|y1111.jpg|y1266.jpg|y1351.jpg|y1468.jpg
HE_000298,knn,11,8,3,0.727273,0.272727,0,8,0.727273,0.845351,False,no188.jpg|no195.jpg|no197.jpg|no308.jpg|no420.jpg|no701.jpg|no723.jpg|no779.jpg|y1271.jpg|y17.jpg|y380.jpg
